algorithm,runs,objective_mean,distance_mean,tardiness_mean,routes_mean,recharges_mean,infeasible_legs_mean,runtime_seconds_mean
edd,432,954478.2171903204,299.57691902179596,17.63254564837027,2.986111111111111,0.7569444444444444,0.9537037037037037,6.597222238724498e-06
grasp,432,114738.4861340572,270.7309194952344,76.61348441915973,2.7569444444444446,0.9259259259259259,0.11342592592592593,0.0019056694444354132
mp_eavns,432,86167.3718949322,239.52945778819685,0.006465936622840447,2.7962962962962963,0.48148148148148145,0.08564814814814815,0.04182717731479384
nearest,432,578695.5881811668,262.9129059707607,408.3601201122002,2.75,0.5347222222222222,0.5740740740740741,2.2193518561750722e-05
sweep,432,427776.0679895642,246.2723011122767,362.00734662297066,2.986111111111111,0.33564814814814814,0.4236111111111111,6.187037033416547e-06
