algorithm,station_policy,runs,objective_mean,distance_mean,tardiness_mean,routes_mean,recharges_mean,infeasible_legs_mean,runtime_seconds_mean
edd,all,144,660525.2698239159,300.0056184056177,20.443087217701034,2.986111111111111,0.9722222222222222,0.6597222222222222,6.647916690225328e-06
edd,depot,144,1514605.844684459,298.23005936205294,12.011462509708744,2.986111111111111,0.3402777777777778,1.5138888888888888,6.062500012325876e-06
edd,phased,144,688303.5370625858,300.49507929771715,20.443087217701034,2.986111111111111,0.9583333333333334,0.6875,7.081250013622291e-06
grasp,all,144,843.6424794632989,269.07561918281635,29.95668602804825,2.75,1.0833333333333333,0.0,0.0019957340277301228
grasp,depot,144,342195.4414282009,272.3327427357489,136.68586854651974,2.7847222222222223,0.6041666666666666,0.3402777777777778,0.0015569597222603686
grasp,phased,144,1176.3744945073609,270.78439656713795,63.19789868291118,2.736111111111111,1.0902777777777777,0.0,0.002164314583315748
mp_eavns,all,144,514.6681904914922,238.27174991868944,0.0007551683913911392,2.763888888888889,0.5972222222222222,0.0,0.04419367499999933
mp_eavns,depot,144,257470.12843002958,239.39399974317817,0.017887473085739063,2.861111111111111,0.2013888888888889,0.2569444444444444,0.03945556249998264
mp_eavns,phased,144,517.3190642755258,240.92262370272294,0.0007551683913911392,2.763888888888889,0.6458333333333334,0.0,0.041832294444399544
nearest,all,144,331203.4785305475,263.4351336400136,427.6154508018613,2.75,0.7361111111111112,0.3263888888888889,2.133680562287231e-05
nearest,depot,144,1059790.732959517,261.6828166326668,369.84945873287796,2.75,0.14583333333333334,1.0555555555555556,2.2601388934617717e-05
nearest,phased,144,345092.553053436,263.6207676396017,427.6154508018613,2.75,0.7222222222222222,0.3402777777777778,2.264236112776214e-05
sweep,all,144,274998.9704078174,246.9524971432373,362.00734662297066,2.986111111111111,0.4791666666666667,0.2708333333333333,6.625000006958241e-06
sweep,depot,144,698608.120015136,244.99099335075613,362.00734662297066,2.986111111111111,0.08333333333333333,0.6944444444444444,5.113888897135945e-06
sweep,phased,144,309721.1135457392,246.87341284283664,362.00734662297066,2.986111111111111,0.4444444444444444,0.3055555555555556,6.822222196155457e-06
