station_policy,runs,objective_mean,distance_mean,tardiness_mean,routes_mean,recharges_mean,infeasible_legs_mean,runtime_seconds_mean
all,720,253617.20588644713,263.54812365807487,168.00466516779454,2.8472222222222223,0.7736111111111111,0.2513888888888889,0.0092448037500099
depot,720,774534.0535034685,263.3261223648806,176.11440477703258,2.873611111111111,0.275,0.7722222222222223,0.008209260000017416
phased,720,268962.1794441088,264.53925601000327,174.6529076987671,2.8444444444444446,0.7722222222222223,0.26666666666666666,0.008806630972210567
