algorithm,station_policy,runs,objective_mean,distance_mean,tardiness_mean,routes_mean,recharges_mean,infeasible_legs_mean,runtime_seconds_mean
edd,all,144,910541.7817028072,303.2363984847331,21.77119709891512,2.986111111111111,1.6944444444444444,0.9097222222222222,7.174305582995859e-06
edd,depot,144,2278541.0789412367,299.51354916814967,16.517650317967,2.986111111111111,0.5347222222222222,2.2777777777777777,6.0125000231892045e-06
edd,phased,144,986930.7566414482,303.17667527755276,21.785774394849795,2.986111111111111,1.6458333333333333,0.9861111111111112,6.875694421321694e-06
grasp,all,144,1673.6243878001058,281.29993888302954,111.59355600281873,2.763888888888889,2.1666666666666665,0.0,0.002332526388822013
grasp,depot,144,1022972.1547201639,280.5691735793688,157.90855465845772,2.7916666666666665,0.9861111111111112,1.0208333333333333,0.0016589972221999637
grasp,phased,144,43246.681066745194,274.6300988860946,103.03843011924329,2.75,2.013888888888889,0.041666666666666664,0.0020993145832777474
mp_eavns,all,144,524.3052639299492,243.70243924880225,0.00472691255914073,2.8055555555555554,1.4513888888888888,0.0,0.048751824305491534
mp_eavns,depot,144,861666.5823686694,256.5159678471525,0.03441786001269382,2.986111111111111,0.5416666666666666,0.8611111111111112,0.04245803194439506
mp_eavns,phased,144,35250.44173303791,245.53335280120595,0.00472691255914073,2.826388888888889,1.4513888888888888,0.034722222222222224,0.051061747916694204
nearest,all,144,587547.2499654319,266.67499947539784,367.36305215120456,2.736111111111111,1.5902777777777777,0.5833333333333334,2.1463888888067435e-05
nearest,depot,144,2031855.7846491658,263.58644753641147,354.0809312740577,2.736111111111111,0.3125,2.0277777777777777,2.098055555027006e-05
nearest,phased,144,650047.556055087,266.6644844120526,367.394712623052,2.736111111111111,1.5416666666666667,0.6458333333333334,1.9906250056717705e-05
sweep,all,144,635575.426100048,250.28981330344723,308.20807311890485,2.986111111111111,0.9791666666666666,0.6319444444444444,6.903472221135114e-06
sweep,depot,144,1718819.0398380386,246.83864821654794,299.5812300933109,2.986111111111111,0.1111111111111111,1.7152777777777777,5.0013888805248525e-06
sweep,phased,144,684186.5221172881,250.2747194323647,308.20807311890485,2.986111111111111,0.9375,0.6805555555555556,6.456250016779248e-06
