station_policy,runs,objective_mean,distance_mean,tardiness_mean,routes_mean,recharges_mean,infeasible_legs_mean,runtime_seconds_mean
all,720,427172.47748400347,269.040717879082,161.78812105688047,2.8555555555555556,1.5763888888888888,0.425,0.01022397847220115
depot,720,1582770.9281034549,269.4047572695261,165.62455684076122,2.897222222222222,0.49722222222222223,1.5805555555555555,0.008829804722209803
phased,720,479932.3915227213,268.0558661618541,160.08634343372182,2.8569444444444443,1.5180555555555555,0.4777777777777778,0.010638860138893353
