algorithm,runs,objective_mean,distance_mean,tardiness_mean,routes_mean,recharges_mean,infeasible_legs_mean,runtime_seconds_mean
edd,1104,15361499.829800908,1786.0963581497472,118.8099384786508,16.41576086956522,10.1875,15.356884057971014,1.847853262507419e-05
grasp,1104,6024679.7939393455,1382.6071159785106,1097.8708562497334,14.48913043478261,10.652173913043478,6.010869565217392,0.2682981835145309
mp_eavns,1104,3306132.1323871897,1121.9436616350092,12.875756613415142,14.394021739130435,8.421195652173912,3.3034420289855073,3.748840752174054
nearest,1104,7370632.22758871,1279.934826306196,1374.0789139215947,14.44836956521739,7.5606884057971016,7.354166666666667,0.00023882780799900448
sweep,1104,10176614.725693515,1326.36791540902,966.4625894047923,16.744565217391305,6.9646739130434785,10.163949275362318,1.227663049418049e-05
