instance,period,customers,station_policy,active_stations,algorithm,runtime_seconds,objective,distance,tardiness,routes,recharges,infeasible_legs
c101_21,1,25,depot,1,edd,1.6999998479150236e-05,20001904.93646505,904.9364650496559,0.0,10.0,0.0,20.0
c101_21,1,25,depot,1,sweep,8.899998647393659e-06,8014112.823635793,720.010014316152,1239.2813621477392,10.0,0.0,8.0
c101_21,1,25,depot,1,nearest,8.35999999253545e-05,8015195.086571444,725.2704977453757,1356.981607369829,9.0,0.0,8.0
c101_21,1,25,depot,1,grasp,0.0102270999996108,7011036.263815035,675.8684909602929,946.0395324075206,9.0,0.0,7.0
c101_21,1,25,depot,1,mp_eavns,0.2554148000017449,6001533.367804726,633.367804725831,0.0,9.0,0.0,6.0
c101_21,1,25,phased,6,edd,1.04000027931761e-05,1933.3760967738244,933.3760967738244,0.0,10.0,11.0,0.0
c101_21,1,25,phased,6,sweep,9.399998816661537e-06,3014136.4263732373,743.612751759915,1239.2813621477392,10.0,5.0,3.0
c101_21,1,25,phased,6,nearest,7.440000263159163e-05,1020387.2127858624,751.1295081689036,1873.6083277693485,9.0,7.0,1.0
c101_21,1,25,phased,6,grasp,0.022048200000426732,14212.165866036774,735.2746589362444,1257.689120710053,9.0,7.0,0.0
c101_21,1,25,phased,6,mp_eavns,0.3450412999991386,1580.2988627670732,680.2988627670732,0.0,9.0,7.0,0.0
c101_21,1,25,all,21,edd,1.089999932446517e-05,1933.1465098858848,933.1465098858848,0.0,10.0,11.0,0.0
c101_21,1,25,all,21,sweep,8.099999831756577e-06,3014136.196786349,743.3831648719753,1239.2813621477392,10.0,5.0,3.0
c101_21,1,25,all,21,nearest,7.389999882434495e-05,1020386.9831989744,750.8999212809639,1873.6083277693485,9.0,7.0,1.0
c101_21,1,25,all,21,grasp,0.04613389999940409,8593.079010474014,752.6634302318903,694.0415580242122,9.0,8.0,0.0
c101_21,1,25,all,21,mp_eavns,0.4282300999984727,1580.2988627670732,680.2988627670732,0.0,9.0,7.0,0.0
c101_21,2,50,depot,1,edd,1.4900000678608194e-05,36004637.64787519,2423.707435837861,11.394043935487048,21.0,2.0,36.0
c101_21,2,50,depot,1,sweep,1.1600001016631722e-05,20029159.237151545,1655.4821581307888,2530.3754993413895,22.0,0.0,20.0
c101_21,2,50,depot,1,nearest,0.0002238000015495345,18037552.226517703,1662.4104440057565,3398.9816073698285,19.0,0.0,18.0
c101_21,2,50,depot,1,grasp,0.06783819999691332,15034440.834261324,1495.1792143785617,3104.5655046946335,19.0,0.0,15.0
c101_21,2,50,depot,1,mp_eavns,1.7704180000000633,14003279.957696822,1379.9576968213428,0.0,19.0,0.0,14.0
c101_21,2,50,phased,11,edd,1.799999881768599e-05,17004623.98153147,2442.7879739562354,8.1193557514475,21.0,13.0,17.0
c101_21,2,50,phased,11,sweep,1.930000144056976e-05,7031654.566373747,1706.4065375023577,2774.815983624404,22.0,10.0,7.0
c101_21,2,50,phased,11,nearest,0.00022729999909643084,4046641.5024181507,1689.466416745244,4305.20360014056,19.0,13.0,4.0
c101_21,2,50,phased,11,grasp,0.14746419999937643,4034147.241668828,1741.5264256044609,3050.571524322342,19.0,16.0,4.0
c101_21,2,50,phased,11,mp_eavns,1.134713899999042,3570.1757363085517,1670.1757363085514,0.0,19.0,20.0,0.0
c101_21,2,50,all,21,edd,1.590000101714395e-05,17004623.98153147,2442.7879739562354,8.1193557514475,21.0,13.0,17.0
c101_21,2,50,all,21,sweep,1.3699998817173764e-05,7031654.566373747,1706.4065375023577,2774.815983624404,22.0,10.0,7.0
c101_21,2,50,all,21,nearest,0.00021230000129435211,4046659.349051813,1689.4112906535622,4306.993776115962,19.0,13.0,4.0
c101_21,2,50,all,21,grasp,0.23264149999886286,2040442.0187043333,1715.8452216234189,3682.617348270997,19.0,14.0,2.0
c101_21,2,50,all,21,mp_eavns,1.1412057999987155,3633.32461570707,1733.3246157070696,0.0,19.0,21.0,0.0
c101_21,3,75,depot,1,edd,2.4099997972371057e-05,53007168.35642209,3779.1564094729138,28.920001261258562,31.0,6.0,53.0
c101_21,3,75,depot,1,sweep,1.759999940986745e-05,31054513.92656088,2423.1399277743835,4879.078663310478,33.0,0.0,31.0
c101_21,3,75,depot,1,nearest,0.0004633999997167848,26073096.80973575,2432.0880916815727,6786.47216440673,28.0,0.0,26.0
c101_21,3,75,depot,1,grasp,0.13894240000081481,27042724.75762385,2551.4982283137015,3727.325939553889,29.0,0.0,27.0
c101_21,3,75,depot,1,mp_eavns,4.482466099998419,20004855.765360013,2055.765360014352,0.0,28.0,1.0,20.0
c101_21,3,75,phased,16,edd,3.130000186502002e-05,28007989.42594598,3810.822697417956,107.86032485595712,31.0,24.0,28.0
c101_21,3,75,phased,16,sweep,2.1100000594742596e-05,9070573.7510931,2532.2300098961246,6474.152108320459,33.0,17.0,9.0
c101_21,3,75,phased,16,nearest,0.0004683999977714848,6080783.997258131,2497.6641337625697,7548.633312436857,28.0,20.0,6.0
c101_21,3,75,phased,16,grasp,0.43506649999835645,6085735.200898966,2667.100034938066,8026.810086402751,28.0,26.0,6.0
c101_21,3,75,phased,16,mp_eavns,10.227514600002905,5080.8896858570315,2280.889685857031,0.0,28.0,25.0,0.0
c101_21,3,75,all,21,edd,2.5800000003073364e-05,27008384.13467765,3805.7856934094243,147.83489842392555,31.0,25.0,27.0
c101_21,3,75,all,21,sweep,5.2600000344682485e-05,9070573.7510931,2532.2300098961246,6474.152108320459,33.0,17.0,9.0
c101_21,3,75,all,21,nearest,0.00046490000022458844,6080801.843891794,2497.6090076708874,7550.423488412257,28.0,20.0,6.0
c101_21,3,75,all,21,grasp,0.5069837000010011,5072492.818892687,2725.1581091126077,6686.766078357405,29.0,26.0,5.0
c101_21,3,75,all,21,mp_eavns,13.448746400001255,5108.261724384087,2308.261724384087,0.0,28.0,25.0,0.0
c101_21,4,100,depot,1,edd,3.119999746559188e-05,64009546.686174385,4930.749500852425,51.593667353358825,41.0,8.0,64.0
c101_21,4,100,depot,1,sweep,2.3600001441081986e-05,37069926.17081278,2996.1153738004314,6263.005543897859,43.0,0.0,37.0
c101_21,4,100,depot,1,nearest,0.0009031999979924876,31090662.94602049,2918.5082006514326,8404.44378198402,37.0,0.0,31.0
c101_21,4,100,depot,1,grasp,0.2824324000030174,33059849.59589949,3113.12197951151,5303.647391997551,37.0,0.0,33.0
c101_21,4,100,depot,1,mp_eavns,10.416178599996783,24006290.23491673,2590.234916733372,0.0,37.0,1.0,24.0
c101_21,4,100,phased,21,edd,3.930000093532726e-05,37012075.8348698,4941.430219738603,303.4404650064497,41.0,30.0,37.0
c101_21,4,100,phased,21,sweep,2.7500002033775672e-05,9092192.303030822,3114.1368194699576,8477.81662113523,43.0,22.0,9.0
c101_21,4,100,phased,21,nearest,0.0007939999995869584,8105704.531700316,3007.134536940195,9899.739716337575,37.0,23.0,8.0
c101_21,4,100,phased,21,grasp,1.1289452000019082,4102773.708872713,3327.105627003868,9564.660324570932,38.0,33.0,4.0
c101_21,4,100,phased,21,mp_eavns,23.98439359999975,6537.391821130204,2837.3918211302043,0.0,37.0,30.0,0.0
c101_21,4,100,all,21,edd,3.3299998904112726e-05,37012075.8348698,4941.430219738603,303.4404650064497,41.0,30.0,37.0
c101_21,4,100,all,21,sweep,2.5299999833805487e-05,9092192.303030822,3114.1368194699576,8477.81662113523,43.0,22.0,9.0
c101_21,4,100,all,21,nearest,0.0008319000007759314,8105704.531700316,3007.134536940195,9899.739716337575,37.0,23.0,8.0
c101_21,4,100,all,21,grasp,1.029419999998936,6105365.154581222,3484.528565268436,9808.062601595342,38.0,36.0,6.0
c101_21,4,100,all,21,mp_eavns,29.93619039999976,6569.136155260668,2869.1361552606677,0.0,37.0,30.0,0.0
c101C10,1,3,depot,1,edd,5.300000339047983e-06,3000417.372635388,217.3726353879336,0.0,2.0,0.0,3.0
c101C10,1,3,depot,1,sweep,2.2999993234407157e-06,3000388.7112682476,188.71126824742169,0.0,2.0,0.0,3.0
c101C10,1,3,depot,1,nearest,9.499999578110874e-06,2002758.4170232767,188.71126824742169,236.97057550292607,2.0,0.0,2.0
c101C10,1,3,depot,1,grasp,0.0001961999987543095,2002758.4170232767,188.71126824742169,236.97057550292607,2.0,0.0,2.0
c101C10,1,3,depot,1,mp_eavns,0.005339200000889832,2000529.381447911,229.3814479109881,0.0,3.0,0.0,2.0
c101C10,1,3,phased,2,edd,2.6999987312592566e-06,2000429.9777182958,229.97771829576425,0.0,2.0,1.0,2.0
c101C10,1,3,phased,2,sweep,3.1000017770566046e-06,1000397.715693539,197.71569353904908,0.0,2.0,1.0,1.0
c101C10,1,3,phased,2,nearest,6.199999916134402e-06,2002758.4170232767,188.71126824742169,236.97057550292607,2.0,0.0,2.0
c101C10,1,3,phased,2,grasp,0.00023409999994328246,1000397.715693539,197.71569353904908,0.0,2.0,1.0,1.0
c101C10,1,3,phased,2,mp_eavns,0.0031103000001166947,1000397.715693539,197.71569353904908,0.0,2.0,1.0,1.0
c101C10,1,3,all,5,edd,2.1000014385208488e-06,1000436.1110585709,236.1110585709348,0.0,2.0,2.0,1.0
c101C10,1,3,all,5,sweep,1.6999983927235007e-06,406.7453967232481,206.74539672324812,0.0,2.0,2.0,0.0
c101C10,1,3,all,5,nearest,0.00011950000043725595,1002767.4467264608,197.74097143162078,236.97057550292607,2.0,1.0,1.0
c101C10,1,3,all,5,grasp,0.0004336000019975472,406.7453967232482,206.74539672324818,0.0,2.0,2.0,0.0
c101C10,1,3,all,5,mp_eavns,0.004196099998807767,406.7453967232481,206.74539672324812,0.0,2.0,2.0,0.0
c101C10,2,5,depot,1,edd,4.400000761961564e-06,4000591.7837537024,291.78375370234176,0.0,3.0,0.0,4.0
c101C10,2,5,depot,1,sweep,3.0999981390777975e-06,4000947.153628936,263.1223865618298,38.40312423743285,3.0,0.0,4.0
c101C10,2,5,depot,1,nearest,2.010000025620684e-05,4007644.0654903087,296.86503884211805,704.7200451466693,3.0,0.0,4.0
c101C10,2,5,depot,1,grasp,0.000340000002324814,4000587.289866623,287.289866622771,0.0,3.0,0.0,4.0
c101C10,2,5,depot,1,mp_eavns,0.01308239999707439,3000703.7925662254,303.79256622539623,0.0,4.0,0.0,3.0
c101C10,2,5,phased,3,edd,4.0000013541430235e-06,2000608.807192806,308.80719280581724,0.0,3.0,2.0,2.0
c101C10,2,5,phased,3,sweep,3.6000019463244826e-06,1000968.6586203021,284.6273779278108,38.40312423743285,3.0,2.0,1.0
c101C10,2,5,phased,3,nearest,9.300001693191007e-06,2010706.5103837766,314.6572158906654,1009.1853167885871,3.0,2.0,2.0
c101C10,2,5,phased,3,grasp,0.0003795000011450611,1000576.545168049,276.545168049102,0.0,3.0,2.0,1.0
c101C10,2,5,phased,3,mp_eavns,0.010128599999006838,1000576.545168049,276.5451680491021,0.0,3.0,2.0,1.0
c101C10,2,5,all,5,edd,3.9000005926936865e-06,1000614.940533081,314.9405330809878,0.0,3.0,3.0,1.0
c101C10,2,5,all,5,sweep,3.4000004234258085e-06,977.6883234863383,293.65708111200985,38.40312423743285,3.0,3.0,0.0
c101C10,2,5,all,5,nearest,9.799998224480078e-06,1010715.5400869608,323.6869190748644,1009.1853167885871,3.0,3.0,1.0
c101C10,2,5,all,5,grasp,0.0004380999998829793,585.5748712333011,285.5748712333011,0.0,3.0,3.0,0.0
c101C10,2,5,all,5,mp_eavns,0.012490199998865137,585.5748712333011,285.5748712333011,0.0,3.0,3.0,0.0
c101C10,3,8,depot,1,edd,3.7000027077738196e-06,7000815.953849772,415.9538497719389,0.0,4.0,0.0,7.0
c101C10,3,8,depot,1,sweep,2.9999973776284605e-06,6001129.791914338,345.76067196364266,38.40312423743285,4.0,0.0,6.0
c101C10,3,8,depot,1,nearest,1.5199999324977398e-05,5008085.213617453,352.07698545021185,733.3136632002804,4.0,0.0,5.0
c101C10,3,8,depot,1,grasp,0.000931700000364799,4019335.6685966323,347.19346531958416,1858.8475131312598,4.0,0.0,4.0
c101C10,3,8,depot,1,mp_eavns,0.023538000001281034,4000781.817204911,381.817204910606,0.0,4.0,1.0,4.0
c101C10,3,8,phased,4,edd,4.400000761961564e-06,2000843.332324841,443.3323248409807,0.0,4.0,4.0,2.0
c101C10,3,8,phased,4,sweep,4.5000015234109014e-06,2484.3860659376924,379.0182677589372,170.53677981787553,4.0,4.0,0.0
c101C10,3,8,phased,4,nearest,1.4900000678608194e-05,8114.751012873173,381.61438087036834,733.3136632002804,4.0,4.0,0.0
c101C10,3,8,phased,4,grasp,0.0012903999995614868,2096.8406203058403,378.32471018555765,131.85159101202828,4.0,4.0,0.0
c101C10,3,8,phased,4,mp_eavns,0.04557390000263695,769.9021723398407,369.90217233984066,0.0,4.0,4.0,0.0
c101C10,3,8,all,5,edd,4.799996531801298e-06,2000843.332324841,443.3323248409807,0.0,4.0,4.0,2.0
c101C10,3,8,all,5,sweep,4.300000000512227e-06,2484.3860659376924,379.0182677589372,170.53677981787553,4.0,4.0,0.0
c101C10,3,8,all,5,nearest,1.639999754843302e-05,8114.751012873173,381.61438087036834,733.3136632002804,4.0,4.0,0.0
c101C10,3,8,all,5,grasp,0.001084600000467617,2537.3879178318953,432.02011965314006,170.53677981787553,4.0,5.0,0.0
c101C10,3,8,all,5,mp_eavns,0.04535970000142697,769.9021723398407,369.9021723398407,0.0,4.0,4.0,0.0
