station_policy,runs,objective_mean,distance_mean,tardiness_mean,routes_mean,recharges_mean,infeasible_legs_mean,runtime_seconds_mean
all,1840,4443586.426612779,1397.4603908002662,750.7064048064804,15.297282608695653,12.673369565217392,4.433152173913044,1.047846694836999
depot,1840,16417330.845673818,1346.2967347865338,630.1559808596891,15.308152173913044,1.0288043478260869,16.408152173913045,0.40770976157616096
phased,1840,4482817.953359204,1394.41280090029,761.1964471347426,15.289673913043478,12.569565217391304,4.472282608695652,0.9548886547826619
