algorithm,runs,objective_mean,distance_mean,tardiness_mean,routes_mean,recharges_mean,infeasible_legs_mean
edd,40,2300873.8744404474,371.3707583575907,16.250368208977395,3.4,2.3,2.3
grasp,40,326989.488086802,334.36759672618996,133.2620490075814,3.225,3.325,0.325
nearest,40,1553599.9544898444,324.644361120737,295.0310128723737,3.25,2.3,1.55
sweep,40,1452479.6638303408,293.0228484153645,184.66409819256268,3.4,1.75,1.45
