algorithm,station_policy,runs,objective_mean,distance_mean,tardiness_mean,routes_mean,recharges_mean,infeasible_legs_mean
edd,all,20,2150874.4037952526,371.9001131629809,16.250368208977395,3.4,2.45,2.15
edd,phased,20,2450873.345085642,370.8414035522005,16.250368208977395,3.4,2.15,2.45
grasp,all,20,251749.25023414803,330.998173203366,109.82520609446578,3.2,3.3,0.25
grasp,phased,20,402229.72593945597,337.73702024901394,156.69889192069704,3.25,3.35,0.4
nearest,all,20,1453600.4067406096,325.0966118857844,295.0310128723737,3.25,2.4,1.45
nearest,phased,20,1653599.5022390794,324.1921103556897,295.0310128723737,3.25,2.2,1.65
sweep,all,20,1402480.1153155002,293.4743335745745,184.66409819256268,3.4,1.8,1.4
sweep,phased,20,1502479.2123451817,292.57136325615454,184.66409819256268,3.4,1.7,1.5
