instance,period,customers,station_policy,active_stations,algorithm,objective,distance,tardiness,routes,recharges,infeasible_legs
c101C5,1,2,phased,2,edd,1000187.3283094778,87.32830947781493,0.0,1.0,0.0,1.0
c101C5,1,2,phased,2,sweep,1000187.3283094778,87.32830947781493,0.0,1.0,0.0,1.0
c101C5,1,2,phased,2,nearest,1000187.3283094778,87.32830947781493,0.0,1.0,0.0,1.0
c101C5,1,2,phased,2,grasp,5054.469973162011,102.54559344635005,485.19243797156616,1.0,1.0,0.0
c101C5,1,2,all,3,edd,1000187.3283094778,87.32830947781493,0.0,1.0,0.0,1.0
c101C5,1,2,all,3,sweep,1000187.3283094778,87.32830947781493,0.0,1.0,0.0,1.0
c101C5,1,2,all,3,nearest,1000187.3283094778,87.32830947781493,0.0,1.0,0.0,1.0
c101C5,1,2,all,3,grasp,5054.469973162011,102.54559344635005,485.19243797156616,1.0,1.0,0.0
c101C5,2,3,phased,2,edd,399.8162940647362,199.81629406473618,0.0,2.0,2.0,0.0
c101C5,2,3,phased,2,sweep,1000384.5990100962,184.59901009620106,0.0,2.0,1.0,1.0
c101C5,2,3,phased,2,nearest,1000384.5990100962,184.59901009620106,0.0,2.0,1.0,1.0
c101C5,2,3,phased,2,grasp,399.8162940647362,199.81629406473618,0.0,2.0,2.0,0.0
c101C5,2,3,all,3,edd,399.8162940647362,199.81629406473618,0.0,2.0,2.0,0.0
c101C5,2,3,all,3,sweep,1000384.5990100962,184.59901009620106,0.0,2.0,1.0,1.0
c101C5,2,3,all,3,nearest,1000384.5990100962,184.59901009620106,0.0,2.0,1.0,1.0
c101C5,2,3,all,3,grasp,399.8162940647362,199.81629406473618,0.0,2.0,2.0,0.0
c101C5,3,4,phased,3,edd,2000453.7611530996,253.76115309960045,0.0,2.0,1.0,2.0
c101C5,3,4,phased,3,sweep,1006077.7750304004,193.58962736568088,568.4185403034639,2.0,1.0,1.0
c101C5,3,4,phased,3,nearest,1006077.7750304004,193.58962736568088,568.4185403034639,2.0,1.0,1.0
c101C5,3,4,phased,3,grasp,1549.6241365984056,208.806911334216,114.08172252641896,2.0,2.0,0.0
c101C5,3,4,all,3,edd,2000453.7611530996,253.76115309960045,0.0,2.0,1.0,2.0
c101C5,3,4,all,3,sweep,1006077.7750304004,193.58962736568088,568.4185403034639,2.0,1.0,1.0
c101C5,3,4,all,3,nearest,1006077.7750304004,193.58962736568088,568.4185403034639,2.0,1.0,1.0
c101C5,3,4,all,3,grasp,1549.6241365984056,208.806911334216,114.08172252641896,2.0,2.0,0.0
c101C5,4,5,phased,3,edd,3000749.2398249856,294.8605058301107,25.437931915565628,2.0,2.0,3.0
c101C5,4,5,phased,3,sweep,1010339.0490352002,206.54010261594073,993.250893258419,2.0,1.0,1.0
c101C5,4,5,phased,3,nearest,1002030.6782291308,206.5401026159407,162.41381265149107,2.0,1.0,1.0
c101C5,4,5,phased,3,grasp,10156.896439336197,250.0379675903926,970.6858471745803,2.0,3.0,0.0
c101C5,4,5,all,3,edd,3000749.2398249856,294.8605058301107,25.437931915565628,2.0,2.0,3.0
c101C5,4,5,all,3,sweep,1010339.0490352002,206.54010261594073,993.250893258419,2.0,1.0,1.0
c101C5,4,5,all,3,nearest,1002030.6782291308,206.5401026159407,162.41381265149107,2.0,1.0,1.0
c101C5,4,5,all,3,grasp,6897.819892815049,221.75738658447582,647.6062506230572,2.0,2.0,0.0
c101C10,1,3,phased,2,edd,2000429.9777182958,229.97771829576425,0.0,2.0,1.0,2.0
c101C10,1,3,phased,2,sweep,1000397.715693539,197.71569353904908,0.0,2.0,1.0,1.0
c101C10,1,3,phased,2,nearest,2002758.4170232767,188.71126824742169,236.97057550292607,2.0,0.0,2.0
c101C10,1,3,phased,2,grasp,1000397.715693539,197.71569353904908,0.0,2.0,1.0,1.0
c101C10,1,3,all,5,edd,1000436.1110585709,236.1110585709348,0.0,2.0,2.0,1.0
c101C10,1,3,all,5,sweep,406.7453967232481,206.74539672324812,0.0,2.0,2.0,0.0
c101C10,1,3,all,5,nearest,1002767.4467264608,197.74097143162078,236.97057550292607,2.0,1.0,1.0
c101C10,1,3,all,5,grasp,406.7453967232482,206.74539672324818,0.0,2.0,2.0,0.0
c101C10,2,5,phased,3,edd,2000608.807192806,308.80719280581724,0.0,3.0,2.0,2.0
c101C10,2,5,phased,3,sweep,1000968.6586203021,284.6273779278108,38.40312423743285,3.0,2.0,1.0
c101C10,2,5,phased,3,nearest,2010706.5103837766,314.6572158906654,1009.1853167885871,3.0,2.0,2.0
c101C10,2,5,phased,3,grasp,1000576.545168049,276.545168049102,0.0,3.0,2.0,1.0
c101C10,2,5,all,5,edd,1000614.940533081,314.9405330809878,0.0,3.0,3.0,1.0
c101C10,2,5,all,5,sweep,977.6883234863383,293.65708111200985,38.40312423743285,3.0,3.0,0.0
c101C10,2,5,all,5,nearest,1010715.5400869608,323.6869190748644,1009.1853167885871,3.0,3.0,1.0
c101C10,2,5,all,5,grasp,977.6883234863384,293.6570811120099,38.40312423743285,3.0,3.0,0.0
c101C10,3,8,phased,4,edd,2000842.5147106948,442.51471069467556,0.0,4.0,4.0,2.0
c101C10,3,8,phased,4,sweep,1002304.3359544785,376.2953665138227,152.8040587964656,4.0,3.0,1.0
c101C10,3,8,phased,4,nearest,1008108.6104311552,375.47379915237286,733.3136632002804,4.0,3.0,1.0
c101C10,3,8,phased,4,grasp,4456.986524487233,380.6534479593932,367.63330765278397,4.0,4.0,0.0
c101C10,3,8,all,5,edd,2000842.5147106948,442.51471069467556,0.0,4.0,4.0,2.0
c101C10,3,8,all,5,sweep,1002304.3359544785,376.2953665138227,152.8040587964656,4.0,3.0,1.0
c101C10,3,8,all,5,nearest,1008108.6104311552,375.47379915237286,733.3136632002804,4.0,3.0,1.0
c101C10,3,8,all,5,grasp,4456.986524487233,380.6534479593932,367.63330765278397,4.0,4.0,0.0
c101C10,4,10,phased,5,edd,2001030.3514349973,530.3514349973283,0.0,5.0,4.0,2.0
c101C10,4,10,phased,5,sweep,2010065.4980583794,447.2401817503878,911.8257876629082,5.0,3.0,2.0
c101C10,4,10,phased,5,nearest,1019314.8442286751,454.695476666229,1836.0148752008904,5.0,4.0,1.0
c101C10,4,10,phased,5,grasp,10891.72657733473,544.5979298170599,984.7128647517669,5.0,6.0,0.0
c101C10,4,10,all,5,edd,2001030.3514349973,530.3514349973283,0.0,5.0,4.0,2.0
c101C10,4,10,all,5,sweep,2010065.4980583794,447.2401817503878,911.8257876629082,5.0,3.0,2.0
c101C10,4,10,all,5,nearest,1019314.8442286751,454.695476666229,1836.0148752008904,5.0,4.0,1.0
c101C10,4,10,all,5,grasp,4443.16750635787,591.9028842451914,335.12646221126784,5.0,7.0,0.0
c103C15,1,4,phased,2,edd,331.1383596976942,131.13835969769423,0.0,2.0,1.0,0.0
c103C15,1,4,phased,2,sweep,331.1383596976942,131.13835969769423,0.0,2.0,1.0,0.0
c103C15,1,4,phased,2,nearest,1000359.9981281116,159.99812811158358,0.0,2.0,1.0,1.0
c103C15,1,4,phased,2,grasp,331.1383596976942,131.13835969769423,0.0,2.0,1.0,0.0
c103C15,1,4,all,5,edd,331.1383596976942,131.13835969769423,0.0,2.0,1.0,0.0
c103C15,1,4,all,5,sweep,331.1383596976942,131.13835969769423,0.0,2.0,1.0,0.0
c103C15,1,4,all,5,nearest,1000359.9981281116,159.99812811158358,0.0,2.0,1.0,1.0
c103C15,1,4,all,5,grasp,331.1383596976942,131.13835969769423,0.0,2.0,1.0,0.0
c103C15,2,8,phased,3,edd,2000734.2104059816,334.2104059815766,0.0,4.0,2.0,2.0
c103C15,2,8,phased,3,sweep,925.4403601098969,232.4697747021134,39.29705854077835,3.0,2.0,0.0
c103C15,2,8,phased,3,nearest,1248.688110508128,307.35603683791203,64.13320736702158,3.0,4.0,0.0
c103C15,2,8,phased,3,grasp,552.9053439025001,252.90534390250016,0.0,3.0,2.0,0.0
c103C15,2,8,all,5,edd,2000734.2104059816,334.2104059815766,0.0,4.0,2.0,2.0
