instance,period,customers,station_policy,active_stations,algorithm,runtime_seconds,objective,distance,tardiness,routes,recharges,infeasible_legs
c101_21,1,25,depot,1,edd,2.040000254055485e-05,8001904.93646505,904.9364650496559,0.0,10.0,0.0,8.0
c101_21,1,25,depot,1,sweep,1.870000414783135e-05,4014112.8236357938,720.010014316152,1239.2813621477392,10.0,0.0,4.0
c101_21,1,25,depot,1,nearest,0.00016229999891947955,4032567.6617961964,641.5004356718072,3102.6161360524766,9.0,0.0,4.0
c101_21,1,25,depot,1,grasp,0.019884100001945626,4011987.0504949307,669.3471987881783,1041.770329614269,9.0,0.0,4.0
c101_21,1,25,depot,1,alns,0.2365903999962029,2001557.7507388855,657.7507388853835,0.0,9.0,0.0,2.0
c101_21,1,25,depot,1,mp_eavns,0.3006849999947008,2001553.6581483008,653.6581483008323,0.0,9.0,0.0,2.0
c101_21,1,25,depot,1,mp_eavns_nowarm,0.1915870000011637,3001519.950320322,619.9503203220363,0.0,9.0,0.0,3.0
c101_21,1,25,depot,1,mp_eavns_noshake,0.03649550000409363,2001565.7954135425,665.7954135426525,0.0,9.0,0.0,2.0
c101_21,1,25,depot,1,mp_eavns_norepair,0.19336860000476008,4001532.1715937285,632.1715937283784,0.0,9.0,0.0,4.0
c101_21,1,25,phased,6,edd,1.5600002370774746e-05,4001917.4723825725,917.4723825726026,0.0,10.0,4.0,4.0
c101_21,1,25,phased,6,sweep,1.2500000593718141e-05,14123.237555682077,730.4239342046858,1239.2813621477392,10.0,4.0,0.0
c101_21,1,25,phased,6,nearest,8.589999924879521e-05,32577.761206732484,651.5998462077192,3102.6161360524766,9.0,4.0,0.0
c101_21,1,25,phased,6,grasp,0.021847399999387562,4085.880779198005,725.2105804745538,246.0670198723451,9.0,5.0,0.0
c101_21,1,25,phased,6,alns,0.283699899999192,1530.7208066306284,630.7208066306285,0.0,9.0,3.0,0.0
c101_21,1,25,phased,6,mp_eavns,0.39464030000090133,1545.6232094484094,645.6232094484093,0.0,9.0,4.0,0.0
c101_21,1,25,phased,6,mp_eavns_nowarm,0.41856250000273576,1546.6540768550562,646.6540768550561,0.0,9.0,4.0,0.0
c101_21,1,25,phased,6,mp_eavns_noshake,0.04570890000468353,1553.0823510097284,653.0823510097283,0.0,9.0,4.0,0.0
c101_21,1,25,phased,6,mp_eavns_norepair,0.39989020000211895,1543.4187746974335,643.4187746974335,0.0,9.0,4.0,0.0
c101_21,1,25,all,21,edd,1.1699994502123445e-05,4001917.4723825725,917.4723825726026,0.0,10.0,4.0,4.0
c101_21,1,25,all,21,sweep,9.800001862458885e-06,14123.237555682077,730.4239342046858,1239.2813621477392,10.0,4.0,0.0
