algorithm,station_policy,runs,objective_mean,distance_mean,tardiness_mean,routes_mean,recharges_mean,infeasible_legs_mean,runtime_seconds_mean
alns,all,368,2577.107857871481,1148.8783337754396,0.7849089313432828,14.203804347826088,7.0625,0.0,17.624940248097534
alns,depot,368,4456458.223166512,1156.8282982941257,4.623182473993326,14.508152173913043,0.9429347826086957,4.453804347826087,8.452938633967337
alns,phased,368,16171.58468559202,1146.1312155217613,1.4040426591999204,14.244565217391305,7.029891304347826,0.01358695652173913,17.237717323097574
edd,all,368,3948533.436377966,1780.054428714411,217.7023253599397,16.41576086956522,12.35054347826087,3.942934782608696,2.3634239092327494e-05
edd,depot,368,16428361.521097254,1777.6736654253784,102.92278666120676,16.41576086956522,2.989130434782609,16.42391304347826,2.2495923629954316e-05
edd,phased,368,3953969.699556641,1780.6462163695987,217.79120359233562,16.41576086956522,12.355978260869565,3.948369565217391,2.818125016267953e-05
grasp,all,368,95016.90604503268,1368.1824715069918,795.9049660482204,14.505434782608695,10.279891304347826,0.08423913043478261,0.4481106076086294
grasp,depot,368,7345261.929980278,1361.2445802074112,1093.6554965288194,14.423913043478262,2.4402173913043477,7.331521739130435,0.15662436114134043
grasp,phased,368,136190.09995327328,1375.067506963545,836.9108533266254,14.459239130434783,10.266304347826088,0.125,0.4338202624998421
mp_eavns,all,368,2503.375738586399,1071.9611877021807,0.5599333492914305,14.258152173913043,6.119565217391305,0.0,4.420562150272002
mp_eavns,depot,368,4834054.268263166,1065.5692721145417,2.9731599746633517,14.372282608695652,0.35597826086956524,4.831521739130435,2.196354258152338
mp_eavns,phased,368,16109.215785471953,1075.6182166992794,1.6749742685717606,14.298913043478262,6.092391304347826,0.01358695652173913,4.559840465488892
mp_eavns_norepair,all,368,2509.477732464466,1074.040701975568,0.7176160923680688,14.282608695652174,6.149456521739131,0.0,4.33587465679361
mp_eavns_norepair,depot,368,4872071.553402608,1066.130338342193,0.05317599179150109,14.396739130434783,0.33152173913043476,4.869565217391305,2.173932927445193
mp_eavns_norepair,phased,368,16098.724893729775,1075.4350866051516,0.8615894081145776,14.277173913043478,6.127717391304348,0.01358695652173913,4.139018231521692
mp_eavns_noshake,all,368,2525.3969756511283,1078.091126254154,1.3881936353496243,14.334239130434783,6.105978260869565,0.0,0.7147031940214378
mp_eavns_noshake,depot,368,4880249.096791889,1068.4804919730223,1.7301082523802889,14.459239130434783,0.31521739130434784,4.877717391304348,0.3702820975542201
mp_eavns_noshake,phased,368,16121.49952279786,1082.7208423447423,1.7854767409639545,14.339673913043478,6.122282608695652,0.01358695652173913,0.6936674641307313
mp_eavns_nowarm,all,368,35656.4937133445,1173.0746145471119,45.13538814060844,14.233695652173912,7.519021739130435,0.03260869565217391,1.1622284622282835
mp_eavns_nowarm,depot,368,5723190.9494999405,1177.373346862305,46.683702264372116,14.380434782608695,1.076086956521739,5.720108695652174,0.48840059483714154
mp_eavns_nowarm,phased,368,49248.95170224607,1173.427504291319,45.48720240417104,14.25,7.508152173913044,0.04619565217391304,1.0866455874997882
nearest,all,368,1121423.889161835,1270.3481800149536,1544.7834460080894,14.44836956521739,7.671195652173913,1.1032608695652173,0.0003279244567396666
nearest,depot,368,8704045.132137991,1271.0253118769185,1382.926986959272,14.44836956521739,0.9565217391304348,8.6875,0.00031527228210230214
nearest,phased,368,1145881.608583825,1270.3779296014206,1544.9002393353926,14.44836956521739,7.559782608695652,1.127717391304348,0.0003207597823466526
sweep,all,368,1648492.6534148443,1305.7575866411123,1236.0265393420598,16.744565217391305,6.559782608695652,1.6331521739130435,1.814782622797951e-05
sweep,depot,368,9565291.466792356,1298.0637794676497,1068.8511708540113,16.744565217391305,0.21739130434782608,9.55163043478261,1.4527445392045395e-05
sweep,phased,368,1667514.3866389818,1305.751680343732,1236.0265393420598,16.744565217391305,6.543478260869565,1.6521739130434783,1.9374184810895596e-05
