algorithm,runs,objective_mean,distance_mean,tardiness_mean,routes_mean,recharges_mean,infeasible_legs_mean
edd,40,1101019.4861336227,363.1172920833213,31.636884153945537,3.4,1.775,1.1
grasp,40,51542.25390741956,329.8772802582924,89.23766271612644,3.2,2.375,0.05
nearest,40,828525.252291556,320.0404651824852,288.0211826373439,3.25,1.9,0.825
sweep,40,577453.694005922,289.1526180205043,182.45413879014137,3.4,1.25,0.575
