algorithm,station_policy,runs,objective_mean,distance_mean,tardiness_mean,routes_mean,recharges_mean,infeasible_legs_mean
edd,all,20,1001019.3150694416,362.94622790211315,31.636884153945537,3.4,1.8,1.0
edd,phased,20,1201019.657197804,363.2883562645294,31.636884153945537,3.4,1.75,1.2
grasp,all,20,1531.6667709498984,323.55447892942425,88.8112292020474,3.2,2.35,0.0
grasp,phased,20,101552.84104388922,336.2000815871605,89.66409623020547,3.2,2.4,0.1
nearest,all,20,753522.1763097801,319.4340399931753,287.7742269786949,3.25,1.95,0.75
nearest,phased,20,903528.3282733317,320.64689037179505,288.2681382959929,3.25,1.85,0.9
sweep,all,20,452453.5972092782,289.0558213767965,182.45413879014137,3.4,1.35,0.45
sweep,phased,20,702453.7908025656,289.2494146642121,182.45413879014137,3.4,1.15,0.7
