station_policy,runs,objective_mean,distance_mean,tardiness_mean,routes_mean,recharges_mean,infeasible_legs_mean
all,80,552131.6888398625,323.7476420503773,147.6691197812073,3.3125,1.8625,0.55
phased,80,727138.6543293976,327.34618572192426,148.00581436757133,3.3125,1.7875,0.725
