algorithm,runs,objective_mean,distance_mean,tardiness_mean,routes_mean,recharges_mean,infeasible_legs_mean
edd,144,1570041.4881851715,305.3770740602939,0.0,2.9166666666666665,1.1180555555555556,1.5694444444444444
grasp,144,460695.5787868156,284.66243554946703,180.88330179327912,2.6875,1.7638888888888888,0.4583333333333333
nearest,144,1416809.1030167867,265.63668500809115,655.2494109556487,2.6875,0.9236111111111112,1.4097222222222223
sweep,144,1216361.814933358,248.88869700666,749.625956968475,2.8333333333333335,0.7361111111111112,1.2083333333333333
