station_policy,runs,objective_mean,distance_mean,tardiness_mean,routes_mean,recharges_mean,infeasible_legs_mean
all,192,665886.3434003289,276.6916003902413,387.37142999386674,2.7760416666666665,1.5520833333333333,0.6614583333333334
depot,192,2020054.4507893783,274.66794916764644,387.6137006877237,2.7864583333333335,0.421875,2.015625
phased,192,811990.1945018917,277.0641191604963,414.33387160646174,2.78125,1.4322916666666667,0.8072916666666666
