instance,period,customers,station_policy,active_stations,algorithm,objective,distance,tardiness,routes,recharges,infeasible_legs
c101C10,4,10,depot,1,nearest,4019287.662034588,427.51328257925707,1836.0148752008904,5.0,0.0,4.0
c101C10,4,10,depot,1,grasp,2007401.5360065943,459.141369397578,644.2394637196659,5.0,1.0,2.0
c101C10,4,10,phased,5,edd,1017.9346203457741,517.9346203457741,0.0,5.0,3.0,0.0
c101C10,4,10,phased,5,sweep,1010045.5024944536,427.24461782452516,911.8257876629082,5.0,2.0,1.0
c101C10,4,10,phased,5,nearest,19309.252453283196,449.1037012742922,1836.0148752008904,5.0,4.0,0.0
c101C10,4,10,phased,5,grasp,4197.518631171891,531.5358552351092,316.5982775936781,5.0,5.0,0.0
c101C10,4,10,all,5,edd,1017.9346203457741,517.9346203457741,0.0,5.0,3.0,0.0
c101C10,4,10,all,5,sweep,1010045.5024944536,427.24461782452516,911.8257876629082,5.0,2.0,1.0
c101C10,4,10,all,5,nearest,19309.252453283196,449.1037012742922,1836.0148752008904,5.0,4.0,0.0
c101C10,4,10,all,5,grasp,977.9497290673081,477.9497290673081,0.0,5.0,4.0,0.0
c101C5,1,2,depot,1,edd,1000187.3283094778,87.32830947781493,0.0,1.0,0.0,1.0
c101C5,1,2,depot,1,sweep,1000187.3283094778,87.32830947781493,0.0,1.0,0.0,1.0
c101C5,1,2,depot,1,nearest,1000187.3283094778,87.32830947781493,0.0,1.0,0.0,1.0
c101C5,1,2,depot,1,grasp,1000187.3283094778,87.32830947781493,0.0,1.0,0.0,1.0
c101C5,1,2,phased,2,edd,1000187.3283094778,87.32830947781493,0.0,1.0,0.0,1.0
c101C5,1,2,phased,2,sweep,1000187.3283094778,87.32830947781493,0.0,1.0,0.0,1.0
c101C5,1,2,phased,2,nearest,1000187.3283094778,87.32830947781493,0.0,1.0,0.0,1.0
c101C5,1,2,phased,2,grasp,4730.212459896401,99.65733235000164,453.05551275463995,1.0,1.0,0.0
c101C5,1,2,all,3,edd,1000187.3283094778,87.32830947781493,0.0,1.0,0.0,1.0
c101C5,1,2,all,3,sweep,1000187.3283094778,87.32830947781493,0.0,1.0,0.0,1.0
c101C5,1,2,all,3,nearest,1000187.3283094778,87.32830947781493,0.0,1.0,0.0,1.0
c101C5,1,2,all,3,grasp,4730.212459896401,99.65733235000164,453.05551275463995,1.0,1.0,0.0
c101C5,2,3,depot,1,edd,1000374.5274648496,174.52746484964803,0.0,2.0,0.0,1.0
c101C5,2,3,depot,1,sweep,1000363.4860405364,163.48604053645403,0.0,2.0,0.0,1.0
