station_policy,runs,objective_mean,distance_mean,tardiness_mean,routes_mean,recharges_mean,infeasible_legs_mean,runtime_seconds_mean
all,1840,734624.1573903007,1350.6716707415108,729.0279197820067,15.266847826086957,4.182065217391305,0.7244565217391304,0.486329981304338
depot,1840,4045339.699208395,1348.800942013889,767.970261420706,15.285869565217391,1.0777173913043478,4.034782608695652,0.34543567255432406
phased,1840,748139.7368865827,1348.1072534488005,722.1520937481756,15.266304347826088,4.163586956521739,0.7380434782608696,0.4834467272826338
