algorithm,station_policy,runs,objective_mean,distance_mean,tardiness_mean,routes_mean,recharges_mean,infeasible_legs_mean,runtime_seconds_mean
edd,all,368,2573416.7131264643,1769.60042342362,207.07540073883632,16.41576086956522,7.641304347826087,2.567934782608696,1.9189673910501448e-05
edd,depot,368,9735774.14260011,1769.2881996900535,138.5017443898274,16.41576086956522,2.432065217391304,9.730978260869565,1.7503532658140656e-05
edd,phased,368,2595156.492392882,1770.1003421955925,207.0902920251192,16.41576086956522,7.649456521739131,2.589673913043478,2.018994567389081e-05
grasp,all,368,51041.291997658314,1365.6590724795963,746.2861186048282,14.519021739130435,5.334239130434782,0.04076086956521739,0.2561501192934212
grasp,depot,368,2537905.3472999344,1360.4425332775502,1063.7839549265534,14.505434782608695,1.997282608695652,2.5244565217391304,0.11425611657604469
grasp,phased,368,56115.36538141983,1351.1578679343456,712.1000991746357,14.47554347826087,5.279891304347826,0.04619565217391304,0.2474540171196484
mp_eavns,all,368,2473.5734204363134,1053.4347085779564,0.003001620618328422,14.201086956521738,1.766304347826087,0.0,2.175218827989056
mp_eavns,depot,368,1108465.7038281315,1056.3804883419311,0.008420935481580873,14.309782608695652,0.11684782608695653,1.1059782608695652,1.6126438043477562
mp_eavns,phased,368,2478.638582014906,1054.4277018266555,0.002609757955506249,14.241847826086957,1.7391304347826086,0.0,2.16950166766298
nearest,all,368,619995.4039631109,1259.7379807162981,1402.9415982394523,14.453804347826088,3.807065217391304,0.6032608695652174,0.0002485160326792222
nearest,depot,368,3948509.720673762,1265.6256697189458,1373.3497177956,14.453804347826088,0.8097826086956522,3.932065217391304,0.0002502823368934554
nearest,phased,368,647167.1563875391,1259.6534632921218,1402.7339880768693,14.453804347826088,3.801630434782609,0.6304347826086957,0.0002444554347873592
sweep,all,368,426193.80444383394,1304.9261685100826,1288.8334797062985,16.744565217391305,2.3614130434782608,0.41032608695652173,1.3253532623148994e-05
sweep,depot,368,2896043.5816400363,1292.267819040964,1264.2074690560678,16.744565217391305,0.03260869565217391,2.880434782608696,1.0655978267886498e-05
sweep,phased,368,439781.0316890583,1305.1968919952872,1288.8334797062985,16.744565217391305,2.347826086956522,0.42391304347826086,1.3306250079751962e-05
