algorithm,runs,objective_mean,distance_mean,tardiness_mean,routes_mean,recharges_mean,infeasible_legs_mean,runtime_seconds_mean
edd,1104,4968115.782706485,1769.662988436422,184.22247905126096,16.41576086956522,5.907608695652174,4.96286231884058,1.896105074751097e-05
grasp,1104,881687.3348930042,1359.0864912304974,840.7233909020057,14.5,4.203804347826087,0.8704710144927537,0.20595341766303807
mp_eavns,1104,371139.3052768609,1054.7476329155143,0.004677438018471848,14.25090579710145,1.207427536231884,0.3686594202898551,1.9857880999999307
nearest,1104,1738557.4270081373,1261.6723712424553,1393.008434703974,14.453804347826088,2.806159420289855,1.7219202898550725,0.00024775126812001224
sweep,1104,1254006.139257643,1300.796959848778,1280.624809489555,16.744565217391305,1.5806159420289856,1.2382246376811594,1.2405253656929151e-05
