station_policy,runs,objective_mean,distance_mean,tardiness_mean,routes_mean,recharges_mean,infeasible_legs_mean,runtime_seconds_mean
all,720,1456379.8253926537,274.0141306215548,165.12279286987953,2.879166666666667,2.0861111111111112,1.4541666666666666,0.016069409722234064
depot,720,3246329.2561230124,265.0371260005586,133.07467747894836,2.890277777777778,0.3902777777777778,3.2444444444444445,0.010793724444403728
phased,720,1527220.5324758098,274.46577255102966,165.85667032588265,2.875,2.0347222222222223,1.525,0.015095285277767642
