algorithm,runs,objective_mean,distance_mean,tardiness_mean,routes_mean,recharges_mean,infeasible_legs_mean,runtime_seconds_mean
edd,432,3037749.0102899107,302.7766057147804,11.058553604777336,2.986111111111111,1.3703703703703705,3.037037037037037,6.884722200471448e-06
grasp,432,1340713.0527224867,281.10974251599714,219.28226096001916,2.761574074074074,2.2824074074074074,1.337962962962963,0.0023207708333138222
mp_eavns,432,1053840.3639923495,256.96305982588103,4.891019178281252,2.9375,1.8773148148148149,1.0532407407407407,0.06757485578701453
nearest,432,2450430.032494462,265.6539188891673,313.1508205202738,2.736111111111111,1.0648148148148149,2.446759259259259,2.2066898172515385e-05
sweep,432,2500483.5638199174,249.358388342746,225.04091352783274,2.986111111111111,0.9236111111111112,2.497685185185185,6.120833307721585e-06
