algorithm,runs,objective_mean,distance_mean,tardiness_mean,routes_mean,recharges_mean,infeasible_legs_mean
edd,40,650958.5144170335,361.05559071562027,25.745882631788405,3.4,1.2,0.65
grasp,40,903.6285680704215,318.15549067873314,26.297307739168833,3.225,1.125,0.0
nearest,40,253742.2912509198,316.2486644034867,310.1042586516318,3.25,0.8,0.25
sweep,40,127438.07227552001,286.4355470817442,181.16367284382682,3.4,0.325,0.125
