instance,period,customers,station_policy,active_stations,algorithm,objective,distance,tardiness,routes,recharges,infeasible_legs
c101C10,3,8,all,5,nearest,8092.226924968911,359.0902929661056,733.3136632002804,4.0,1.0,0.0
c101C10,3,8,all,5,grasp,770.4002642407384,370.4002642407383,0.0,4.0,1.0,0.0
c101C10,4,10,phased,5,edd,2001005.7589768833,505.75897688322505,0.0,5.0,1.0,2.0
c101C10,4,10,phased,5,sweep,10062.897333344545,444.63945671546156,911.8257876629082,5.0,1.0,0.0
c101C10,4,10,phased,5,nearest,19294.675342104056,434.5265900951508,1836.0148752008904,5.0,1.0,0.0
c101C10,4,10,phased,5,grasp,1330.6594242915812,450.6594242915812,38.0,5.0,1.0,0.0
c101C10,4,10,all,5,edd,2001005.7589768833,505.75897688322505,0.0,5.0,1.0,2.0
c101C10,4,10,all,5,sweep,10062.897333344545,444.63945671546156,911.8257876629082,5.0,1.0,0.0
c101C10,4,10,all,5,nearest,19294.675342104056,434.5265900951508,1836.0148752008904,5.0,1.0,0.0
c101C10,4,10,all,5,grasp,6069.801664299417,445.39859921031194,512.4403065089106,5.0,1.0,0.0
c103C15,1,4,phased,2,edd,328.1046497035028,128.1046497035028,0.0,2.0,0.0,0.0
c103C15,1,4,phased,2,sweep,328.1046497035028,128.1046497035028,0.0,2.0,0.0,0.0
c103C15,1,4,phased,2,nearest,354.2095019707516,154.2095019707516,0.0,2.0,0.0,0.0
c103C15,1,4,phased,2,grasp,328.1046497035028,128.1046497035028,0.0,2.0,0.0,0.0
c103C15,1,4,all,5,edd,328.1046497035028,128.1046497035028,0.0,2.0,0.0,0.0
c103C15,1,4,all,5,sweep,328.1046497035028,128.1046497035028,0.0,2.0,0.0,0.0
c103C15,1,4,all,5,nearest,354.2095019707516,154.2095019707516,0.0,2.0,0.0,0.0
c103C15,1,4,all,5,grasp,328.1046497035028,128.1046497035028,0.0,2.0,0.0,0.0
c103C15,2,8,phased,3,edd,724.1724737071763,324.1724737071764,0.0,4.0,1.0,0.0
c103C15,2,8,phased,3,sweep,918.8659619000971,225.8953764923136,39.29705854077835,3.0,0.0,0.0
c103C15,2,8,phased,3,nearest,1001236.2931359449,294.96106227464594,64.13320736702158,3.0,0.0,1.0
c103C15,2,8,phased,3,grasp,534.8414982014185,234.84149820141857,0.0,3.0,0.0,0.0
c103C15,2,8,all,5,edd,724.1724737071763,324.1724737071764,0.0,4.0,1.0,0.0
c103C15,2,8,all,5,sweep,918.8659619000971,225.8953764923136,39.29705854077835,3.0,0.0,0.0
c103C15,2,8,all,5,nearest,1001236.2931359449,294.96106227464594,64.13320736702158,3.0,0.0,1.0
c103C15,2,8,all,5,grasp,576.1352362018063,276.1352362018063,0.0,3.0,1.0,0.0
c103C15,3,12,phased,4,edd,981.1696422327686,481.1696422327687,0.0,5.0,2.0,0.0
c103C15,3,12,phased,4,sweep,1256.657366731086,363.68678132330257,39.29705854077835,5.0,0.0,0.0
c103C15,3,12,phased,4,nearest,4706.54729257811,460.9587724663112,374.55885201117985,5.0,1.0,0.0
c103C15,3,12,phased,4,grasp,927.4294231374693,427.42942313746926,0.0,5.0,0.0,0.0
c103C15,3,12,all,5,edd,981.1696422327686,481.1696422327687,0.0,5.0,2.0,0.0
c103C15,3,12,all,5,sweep,1256.657366731086,363.68678132330257,39.29705854077835,5.0,0.0,0.0
