algorithm,station_policy,runs,objective_mean,distance_mean,tardiness_mean,routes_mean,recharges_mean,infeasible_legs_mean
edd,all,20,650958.0807365288,360.6219102109069,25.745882631788405,3.4,1.2,0.65
edd,phased,20,650958.9480975382,361.48927122033365,25.745882631788405,3.4,1.2,0.65
grasp,all,20,924.9203739732303,320.20625528578574,28.47141186874446,3.2,1.2,0.0
grasp,phased,20,882.3367621676126,316.1047260716806,24.123203609593205,3.25,1.05,0.0
nearest,all,20,253742.0116621502,315.9690756338899,310.1042586516318,3.25,0.8,0.25
nearest,phased,20,253742.5708396894,316.52825317308356,310.1042586516318,3.25,0.8,0.25
sweep,all,20,52439.09885056646,287.46212212819114,181.16367284382682,3.4,0.4,0.05
sweep,phased,20,202437.04570047357,285.4089720352972,181.16367284382682,3.4,0.25,0.2
