station_policy,runs,objective_mean,distance_mean,tardiness_mean,routes_mean,recharges_mean,infeasible_legs_mean,runtime_seconds_mean
all,1840,1372775.5151805687,1361.1957353375767,738.7471619144044,15.268478260869566,8.577717391304347,1.3625,0.841437441249991
depot,1840,9381753.438205615,1355.4185739247691,713.0737022994197,15.281521739130435,1.4016304347826087,9.371739130434783,0.40035258750000613
phased,1840,1385168.3337790999,1361.855230915432,727.8489417749664,15.279891304347826,8.576630434782608,1.375,0.8174415204348031
