algorithm,runs,objective_mean,distance_mean,tardiness_mean,routes_mean,recharges_mean,infeasible_legs_mean,runtime_seconds_mean
edd,1104,8110288.21901062,1779.4581035031295,179.47210520449403,16.41576086956522,9.231884057971014,8.105072463768115,2.1198913013970436e-05
grasp,1104,2520747.05628161,1371.0213739093074,887.1596501903455,14.464673913043478,7.749094202898551,2.5090579710144927,0.2884599953804288
mp_eavns,1104,1615739.1014864042,1074.281251911795,0.9747770724351592,14.304347826086957,4.163043478260869,1.6132246376811594,3.1432857784420283
nearest,1104,3692288.266214777,1269.4974888212334,1384.8750610013326,14.453804347826088,5.342391304347826,3.675724637681159,0.00027117481887954995
sweep,1104,4293766.168948728,1303.1910154841646,1180.3014165127101,16.744565217391305,4.440217391304348,4.278985507246377,1.4434420316557288e-05
